🚀 [Orquestador NASA] Iniciando para: Bitácora de Ensayos | Sitio: ensayos | Scope: all
   📁 DIST_PATH: /var/www/dist
   ⏱️ [inicio] procesados=0 lotes=0 uso=40.41 MB memoria=42.5 MB pico=42.5 MB tiempo=0.19s
   ⏱️ [posts] procesados=78000 lotes=78/300 uso=95.79 MB memoria=100.5 MB pico=100.5 MB tiempo=266.14s
   ⏱️ [posts] procesados=79000 lotes=79/300 uso=98.35 MB memoria=102.5 MB pico=102.5 MB tiempo=269.64s
   ⏱️ [posts] procesados=80000 lotes=80/300 uso=96.62 MB memoria=102.5 MB pico=102.5 MB tiempo=273.12s
   ⏱️ [posts] procesados=81000 lotes=81/300 uso=99.53 MB memoria=102.5 MB pico=102.5 MB tiempo=276.54s
   ⏱️ [posts] procesados=82000 lotes=82/300 uso=97.8 MB memoria=104.5 MB pico=104.5 MB tiempo=279.88s
   ⏱️ [posts] procesados=83000 lotes=83/300 uso=100.6 MB memoria=104.5 MB pico=104.5 MB tiempo=283.52s
   ⏱️ [posts] procesados=84000 lotes=84/300 uso=99.31 MB memoria=104.5 MB pico=104.5 MB tiempo=286.98s
   ⏱️ [posts] procesados=85000 lotes=85/300 uso=101.66 MB memoria=104.5 MB pico=104.5 MB tiempo=290.27s
   ⏱️ [posts] procesados=86000 lotes=86/300 uso=101.66 MB memoria=106.5 MB pico=106.5 MB tiempo=293.6s
   ⏱️ [posts] procesados=87000 lotes=87/300 uso=102.73 MB memoria=106.5 MB pico=106.5 MB tiempo=297s
   ⏱️ [posts] procesados=88000 lotes=88/300 uso=103.2 MB memoria=106.5 MB pico=106.5 MB tiempo=300.51s
   ⏱️ [posts] procesados=89000 lotes=89/300 uso=101.66 MB memoria=106.5 MB pico=106.5 MB tiempo=303.92s
   ⏱️ [posts] procesados=90000 lotes=90/300 uso=104 MB memoria=108.5 MB pico=108.5 MB tiempo=307.49s
   ⏱️ [posts] procesados=91000 lotes=91/300 uso=104.76 MB memoria=108.5 MB pico=108.5 MB tiempo=310.82s
   ⏱️ [posts] procesados=92000 lotes=92/300 uso=105.34 MB memoria=108.5 MB pico=108.5 MB tiempo=314.18s
   ⏱️ [posts] procesados=93000 lotes=93/300 uso=103.86 MB memoria=110.5 MB pico=110.5 MB tiempo=317.48s
